epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.8961,2.17199,4.32352,1.24088,0.14311,0.08514,0.05855,0.03307,2.16366,3.66996,1.08072,0.000194559,0.000194559,0.000194559
2,220.841,2.21245,3.53277,1.11848,0.64444,0.09817,0.0846,0.0464,2.14789,2.85557,1.08028,0.000387981,0.000387981,0.000387981
3,405.556,2.19749,2.94684,1.11161,0.71893,0.11509,0.10075,0.05682,2.05617,2.30122,1.07218,0.000578816,0.000578816,0.000578816
4,710.749,2.16397,2.541,1.10387,0.57299,0.147,0.11901,0.06694,1.99626,2.08722,1.0747,0.000576358,0.000576358,0.000576358
5,943.235,2.10534,2.36888,1.09144,0.35033,0.16554,0.12975,0.07559,1.96317,1.95164,1.06053,0.000572477,0.000572477,0.000572477
6,1274.84,2.06265,2.16121,1.07369,0.37615,0.2007,0.15146,0.08985,1.93031,1.88581,1.05312,0.000568596,0.000568596,0.000568596
7,1472.7,2.03744,2.05805,1.07335,0.2136,0.21979,0.15244,0.0879,1.94737,1.84398,1.04624,0.000564715,0.000564715,0.000564715
8,1639.95,2.00754,2.01921,1.05758,0.321,0.22343,0.19096,0.11193,1.97714,1.76468,1.04625,0.000560834,0.000560834,0.000560834
9,1791.2,1.97265,1.89789,1.04454,0.30639,0.2746,0.21515,0.1342,1.87848,1.71136,1.03426,0.000556954,0.000556954,0.000556954
10,1996.15,1.96859,1.86833,1.05257,0.48179,0.28762,0.2404,0.15145,1.81398,1.70168,1.02608,0.000553073,0.000553073,0.000553073
11,2187,1.91059,1.83521,1.04811,0.4932,0.29615,0.25264,0.16033,1.82396,1.63406,1.02041,0.000549192,0.000549192,0.000549192
12,2327.16,1.88874,1.80611,1.03916,0.53197,0.29647,0.28598,0.1774,1.80977,1.60208,1.02599,0.000545311,0.000545311,0.000545311
13,2487.44,1.88338,1.74563,1.03868,0.51468,0.27374,0.27833,0.16764,2.04653,1.68131,1.05474,0.00054143,0.00054143,0.00054143
14,2629.39,1.86699,1.72151,1.03099,0.65901,0.29727,0.31394,0.20246,1.77656,1.52571,1.01151,0.00053755,0.00053755,0.00053755
15,2911.89,1.8519,1.71161,1.02384,0.63305,0.30604,0.32026,0.19336,1.90071,1.58698,1.05147,0.000533669,0.000533669,0.000533669
16,3205.14,1.8568,1.67738,1.02505,0.55263,0.36644,0.35242,0.22925,1.72852,1.49221,1.00737,0.000529788,0.000529788,0.000529788
17,3361.34,1.8067,1.63625,1.01969,0.62791,0.33693,0.34522,0.22717,1.75687,1.47369,1.00488,0.000525907,0.000525907,0.000525907
18,3524.79,1.83071,1.60398,1.01822,0.64028,0.34032,0.3551,0.23564,1.71913,1.45963,1.00216,0.000522026,0.000522026,0.000522026
19,3691.91,1.82968,1.58591,1.01189,0.49681,0.3573,0.3705,0.23708,1.71625,1.45287,0.99638,0.000518146,0.000518146,0.000518146
20,3916.35,1.79659,1.56631,1.01427,0.43066,0.35473,0.38256,0.24167,1.83394,1.46935,1.01639,0.000514265,0.000514265,0.000514265
21,4084,1.78102,1.55395,1.00455,0.58374,0.39096,0.39526,0.2645,1.7027,1.39529,0.99904,0.000510384,0.000510384,0.000510384
22,4300.71,1.77023,1.50525,1.00328,0.45381,0.39362,0.41151,0.28112,1.7358,1.41068,1.00001,0.000506503,0.000506503,0.000506503
23,4427.45,1.73778,1.4761,1.00198,0.50784,0.42897,0.42079,0.28709,1.66287,1.38369,0.98621,0.000502622,0.000502622,0.000502622
24,4609.98,1.76563,1.48171,0.99696,0.59111,0.37949,0.42847,0.28444,1.70049,1.35173,0.98989,0.000498742,0.000498742,0.000498742
25,4759.13,1.74125,1.45436,0.99428,0.51408,0.40233,0.44739,0.29712,1.67514,1.31929,0.98857,0.000494861,0.000494861,0.000494861
26,4927.99,1.74346,1.43949,0.99367,0.5362,0.43535,0.45159,0.30376,1.66693,1.333,0.98708,0.00049098,0.00049098,0.00049098
27,5069.54,1.74015,1.42824,0.99332,0.53787,0.41496,0.44298,0.30073,1.72819,1.34761,0.98868,0.000487099,0.000487099,0.000487099
28,5340.54,1.73619,1.41951,0.99222,0.59615,0.42306,0.44999,0.30084,1.66137,1.30919,0.9865,0.000483218,0.000483218,0.000483218
29,5475.38,1.73209,1.40007,0.98621,0.48804,0.42615,0.4408,0.29254,1.67395,1.32029,0.98364,0.000479338,0.000479338,0.000479338
30,5590.39,1.75203,1.39726,0.99195,0.49126,0.46656,0.46791,0.31203,1.65317,1.27754,0.98532,0.000475457,0.000475457,0.000475457
31,5789.03,1.71076,1.38278,0.99205,0.56232,0.49236,0.49287,0.33509,1.63155,1.26447,0.98142,0.000471576,0.000471576,0.000471576
32,5972,1.68934,1.37011,0.98071,0.61612,0.46549,0.49203,0.33478,1.63184,1.31206,0.97784,0.000467695,0.000467695,0.000467695
33,6086.02,1.66603,1.33619,0.97428,0.53225,0.49465,0.49547,0.32761,1.6424,1.26071,0.97855,0.000463814,0.000463814,0.000463814
34,6182.01,1.69311,1.34524,0.9789,0.64315,0.46556,0.50767,0.34573,1.6306,1.23952,0.97783,0.000459934,0.000459934,0.000459934
35,6309.04,1.7023,1.32881,0.98425,0.54323,0.501,0.50643,0.34707,1.64001,1.23985,0.97386,0.000456053,0.000456053,0.000456053
36,6447.49,1.71263,1.3417,0.98238,0.61342,0.49311,0.53131,0.35788,1.61238,1.21372,0.97396,0.000452172,0.000452172,0.000452172
37,6685.5,1.66199,1.29449,0.98193,0.59707,0.51913,0.54422,0.37622,1.60577,1.21273,0.97113,0.000448291,0.000448291,0.000448291
38,6832.65,1.64152,1.29416,0.97631,0.66591,0.48276,0.5315,0.36911,1.61049,1.2047,0.97252,0.00044441,0.00044441,0.00044441
39,6988.04,1.67736,1.30513,0.97218,0.63039,0.49205,0.52856,0.36363,1.60253,1.20383,0.96764,0.00044053,0.00044053,0.00044053
40,7164.4,1.6483,1.27706,0.97279,0.66543,0.50203,0.5525,0.38499,1.62625,1.17389,0.97547,0.000436649,0.000436649,0.000436649
41,7296.06,1.62351,1.25517,0.96897,0.62162,0.51285,0.54795,0.37595,1.60675,1.18193,0.9723,0.000432768,0.000432768,0.000432768
42,7424.8,1.64136,1.2513,0.96451,0.70421,0.48454,0.55577,0.38445,1.60755,1.17371,0.97182,0.000428887,0.000428887,0.000428887
43,7585.82,1.6635,1.25869,0.96391,0.63242,0.5182,0.54477,0.37371,1.61673,1.17612,0.96803,0.000425006,0.000425006,0.000425006
44,7847.9,1.64463,1.23733,0.96331,0.64115,0.50444,0.55562,0.38455,1.57444,1.15622,0.96246,0.000421126,0.000421126,0.000421126
45,7962.86,1.64568,1.2357,0.96964,0.65389,0.52761,0.57117,0.40054,1.56314,1.13828,0.96178,0.000417245,0.000417245,0.000417245
46,8167.61,1.63049,1.21367,0.96653,0.67596,0.53716,0.57548,0.38719,1.58789,1.1414,0.96522,0.000413364,0.000413364,0.000413364
47,8317.38,1.64357,1.2331,0.9635,0.65939,0.52963,0.5844,0.39415,1.59077,1.14778,0.96482,0.000409483,0.000409483,0.000409483
48,8531.82,1.58523,1.1903,0.96105,0.65566,0.55355,0.58566,0.41054,1.55636,1.14481,0.95597,0.000405602,0.000405602,0.000405602
49,8772.74,1.61315,1.20449,0.95878,0.69974,0.547,0.59705,0.4204,1.5719,1.13033,0.96035,0.000401722,0.000401722,0.000401722
50,9067.8,1.62971,1.20054,0.96298,0.73598,0.55498,0.61224,0.42745,1.56326,1.13303,0.95747,0.000397841,0.000397841,0.000397841
51,9262.07,1.62033,1.18713,0.95941,0.61657,0.57407,0.59289,0.41185,1.58008,1.13428,0.95856,0.00039396,0.00039396,0.00039396
52,9484.15,1.60407,1.17939,0.95401,0.71891,0.55551,0.61766,0.43125,1.54835,1.10388,0.95519,0.000390079,0.000390079,0.000390079
53,9618.21,1.61921,1.17591,0.95741,0.65983,0.57147,0.60415,0.42152,1.54164,1.11643,0.95467,0.000386198,0.000386198,0.000386198
54,9891.32,1.59905,1.1786,0.95659,0.6539,0.57278,0.60662,0.41644,1.56575,1.13311,0.95532,0.000382318,0.000382318,0.000382318
55,10032.6,1.59065,1.16389,0.95492,0.71058,0.5758,0.62689,0.43339,1.55227,1.09274,0.95385,0.000378437,0.000378437,0.000378437
56,10174.7,1.5917,1.15941,0.95069,0.73587,0.55888,0.62688,0.44451,1.5235,1.0737,0.94856,0.000374556,0.000374556,0.000374556
57,10401.6,1.56994,1.14347,0.95913,0.73167,0.56983,0.63194,0.43295,1.57228,1.11024,0.95902,0.000370675,0.000370675,0.000370675
58,10571,1.61473,1.16888,0.95167,0.698,0.59564,0.63837,0.45024,1.51916,1.0667,0.94773,0.000366794,0.000366794,0.000366794
59,10763.8,1.55524,1.11617,0.94649,0.72173,0.59233,0.64914,0.44766,1.55325,1.06789,0.95178,0.000362914,0.000362914,0.000362914
60,11006.3,1.58107,1.12981,0.95245,0.71314,0.59364,0.64674,0.4478,1.55636,1.08198,0.95481,0.000359033,0.000359033,0.000359033
61,11168.6,1.58683,1.12506,0.95317,0.79553,0.55503,0.6453,0.43786,1.54967,1.07101,0.95255,0.000355152,0.000355152,0.000355152
62,11380.1,1.56656,1.11143,0.9494,0.72757,0.59893,0.6575,0.46128,1.51777,1.04134,0.9458,0.000351271,0.000351271,0.000351271
63,11625.8,1.57017,1.12797,0.95187,0.7119,0.59112,0.64394,0.45426,1.5117,1.07686,0.94702,0.00034739,0.00034739,0.00034739
64,11949.5,1.58794,1.12484,0.94476,0.77597,0.57683,0.65567,0.45089,1.53227,1.05449,0.94872,0.00034351,0.00034351,0.00034351
65,12078.6,1.5784,1.11317,0.95138,0.73757,0.61242,0.66088,0.47004,1.49681,1.04611,0.94385,0.000339629,0.000339629,0.000339629
66,12261.8,1.55258,1.09155,0.94579,0.76252,0.59952,0.66124,0.46602,1.55373,1.04818,0.95152,0.000335748,0.000335748,0.000335748
67,12400.3,1.57013,1.11639,0.94459,0.74611,0.59512,0.66256,0.46632,1.5113,1.04333,0.9456,0.000331867,0.000331867,0.000331867
68,12567.2,1.54056,1.07812,0.94028,0.70606,0.61158,0.65989,0.45778,1.50957,1.04507,0.94471,0.000327986,0.000327986,0.000327986
69,12750.8,1.53084,1.07832,0.93873,0.75412,0.6056,0.66631,0.46144,1.50035,1.02544,0.94258,0.000324106,0.000324106,0.000324106
70,12883.6,1.54992,1.08602,0.93914,0.71259,0.62541,0.67207,0.47542,1.48445,1.02287,0.93978,0.000320225,0.000320225,0.000320225
71,13012.8,1.52129,1.07726,0.93706,0.76492,0.59608,0.67115,0.47796,1.487,1.02817,0.94013,0.000316344,0.000316344,0.000316344
72,13253.3,1.5236,1.07306,0.93643,0.74322,0.62065,0.67418,0.4742,1.50409,1.02701,0.94092,0.000312463,0.000312463,0.000312463
73,13434.6,1.52342,1.05911,0.94187,0.71569,0.62002,0.67313,0.47321,1.49471,1.01866,0.94041,0.000308582,0.000308582,0.000308582
74,13555.4,1.53595,1.0666,0.94292,0.76649,0.61568,0.68551,0.4749,1.51771,1.01004,0.94515,0.000304702,0.000304702,0.000304702
75,13667.9,1.52193,1.05536,0.94202,0.78286,0.61368,0.68314,0.48045,1.48306,0.99366,0.93813,0.000300821,0.000300821,0.000300821
76,13828.9,1.52284,1.05054,0.93385,0.76262,0.61433,0.68704,0.48557,1.48198,0.99387,0.93725,0.00029694,0.00029694,0.00029694
77,13944.7,1.52988,1.05433,0.94389,0.7672,0.6195,0.69148,0.48065,1.50073,1.00305,0.9407,0.000293059,0.000293059,0.000293059
78,14220,1.52519,1.04998,0.94044,0.74483,0.63358,0.68485,0.48125,1.49934,0.99809,0.94219,0.000289178,0.000289178,0.000289178
