epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8654,2.11225,4.39542,1.28123,0.01353,0.06066,0.02076,0.01148,2.15135,4.26696,1.06983,0.000190235,0.000190235,0.000190235
2,202.055,2.27757,3.41801,1.13834,0.72311,0.0881,0.04979,0.02575,2.22788,3.34877,1.10791,0.000378588,0.000378588,0.000378588
3,274.858,2.30743,2.93138,1.10801,0.77171,0.06302,0.06673,0.03462,2.25299,2.87189,1.09872,0.000559179,0.000559179,0.000559179
4,339.575,2.24911,2.62538,1.07909,0.58795,0.10776,0.09326,0.05108,2.15862,2.49442,1.04834,0.000553073,0.000553073,0.000553073
5,398.923,2.16501,2.32281,1.05344,0.59645,0.11683,0.10666,0.05895,2.10662,2.13173,1.03614,0.00054143,0.00054143,0.00054143
6,498.062,2.13537,2.14398,1.04773,0.61764,0.11705,0.12982,0.07205,2.08615,1.99184,1.05653,0.000529788,0.000529788,0.000529788
7,613.612,2.06882,2.04058,1.02963,0.50117,0.1532,0.14385,0.08007,2.09167,1.98389,1.02055,0.000518146,0.000518146,0.000518146
8,701.587,2.06721,1.95896,1.03234,0.46876,0.17456,0.14111,0.08083,2.01055,1.89515,1.02925,0.000506503,0.000506503,0.000506503
9,851.82,2.02661,1.85632,1.01884,0.66601,0.15894,0.17234,0.09843,2.02651,1.80387,1.01057,0.000494861,0.000494861,0.000494861
10,999.652,1.98778,1.81321,1.01291,0.52686,0.21622,0.19758,0.1146,1.98116,1.70867,1.00707,0.000483218,0.000483218,0.000483218
11,1052.72,1.97003,1.73143,1.0114,0.51775,0.23408,0.20756,0.12308,1.89355,1.61347,0.99537,0.000471576,0.000471576,0.000471576
12,1162.84,1.92585,1.69906,1.0009,0.54622,0.24138,0.22408,0.13343,1.87551,1.62246,0.98625,0.000459934,0.000459934,0.000459934
13,1239.14,1.93522,1.66424,1.00101,0.55157,0.23362,0.22853,0.14331,1.92138,1.58767,0.99101,0.000448291,0.000448291,0.000448291
14,1361.51,1.89081,1.63245,0.99622,0.62231,0.22589,0.22914,0.14129,1.89781,1.54463,0.9839,0.000436649,0.000436649,0.000436649
15,1427.78,1.90835,1.62978,0.99439,0.61982,0.22189,0.23798,0.14648,1.82584,1.55453,0.98166,0.000425006,0.000425006,0.000425006
16,1486.24,1.88853,1.60185,0.99443,0.62594,0.24179,0.25693,0.15849,1.83253,1.506,0.98378,0.000413364,0.000413364,0.000413364
17,1550.16,1.84459,1.53433,0.98571,0.63041,0.26721,0.27805,0.17742,1.79724,1.42413,0.97503,0.000401722,0.000401722,0.000401722
18,1617.58,1.85935,1.55344,0.99035,0.51546,0.28481,0.28259,0.17663,1.84212,1.43809,0.97974,0.000390079,0.000390079,0.000390079
19,1731.92,1.85963,1.52434,0.98322,0.52589,0.28938,0.29431,0.18522,1.83846,1.44634,0.98419,0.000378437,0.000378437,0.000378437
20,1809.99,1.82864,1.51153,0.98602,0.58337,0.26463,0.29875,0.19474,1.76683,1.39876,0.96515,0.000366794,0.000366794,0.000366794
21,1874.2,1.82023,1.48389,0.97166,0.53379,0.30645,0.31147,0.19839,1.75026,1.4513,0.96335,0.000355152,0.000355152,0.000355152
22,1972.89,1.83389,1.45773,0.97538,0.52862,0.30165,0.31946,0.20688,1.75457,1.36567,0.96628,0.00034351,0.00034351,0.00034351
